Month,Year,Ave.Layers
January,2021,393527
February,2021,394594
March,2021,393354
April,2021,389924
May,2021,385222
June,2021,383040
July,2021,383616
August,2021,384693
September,2021,386681
October,2021,389730
November,2021,392242
December,2021,391887
January,2022,390906
February,2022,388868
March,2022,380359
April,2022,369689
May,2022,366512
June,2022,365829
July,2022,368203
August,2022,372108
September,2022,373569
October,2022,374374
November,2022,374618
December,2022,392761
