Month,eggs.Num,Type,Year
January,8216.8,Table,2021
February,7396,Table,2021
March,8174.1,Table,2021
April,7855.1,Table,2021
May,7967.3,Table,2021
June,7655.7,Table,2021
July,7958.3,Table,2021
August,8003,Table,2021
September,7818.5,Table,2021
October,8177.8,Table,2021
November,8047.8,Table,2021
December,8300.3,Table,2021
January,8266.8,Table,2022
February,7388.3,Table,2022
March,8030.8,Table,2022
April,7552.9,Table,2022
May,7663.1,Table,2022
June,7379.4,Table,2022
July,7698,Table,2022
August,7790,Table,2022
September,7561,Table,2022
October,7839.2,Table,2022
November,7620.4,Table,2022
December,8376.2,Table,2022
January,1265.3,Hatching,2021
February,1146.1,Hatching,2021
March,1287.1,Hatching,2021
April,1266.2,Hatching,2021
May,1316.6,Hatching,2021
June,1265.8,Hatching,2021
July,1283.4,Hatching,2021
August,1281.5,Hatching,2021
September,1247.3,Hatching,2021
October,1291.3,Hatching,2021
November,1253.6,Hatching,2021
December,1253.8,Hatching,2021
January,1308.5,Hatching,2022
February,1206.8,Hatching,2022
March,1339.7,Hatching,2022
April,1280.2,Hatching,2022
May,1326,Hatching,2022
June,1277,Hatching,2022
July,1313.1,Hatching,2022
August,1318.4,Hatching,2022
September,1272.3,Hatching,2022
October,1302,Hatching,2022
November,1253.2,Hatching,2022
December,1302.7,Hatching,2022
