,Total eggs,Total eggs,Table eggs,Table eggs,Hatching eggs,Hatching eggs
Month,2021,2022,2021,2022,2021,2022
January,9482.1,9575.3,8216.8,8266.8,1265.3,1308.5
February,8542.1,8595.1,7396,7388.3,1146.1,1206.8
March,9461.2,9370.5,8174.1,8030.8,1287.1,1339.7
April,9121.3,8833.1,7855.1,7552.9,1266.2,1280.2
May,9283.9,8989.1,7967.3,7663.1,1316.6,1326
June,8921.5,8656.4,7655.7,7379.4,1265.8,1277
July,9241.7,9011.1,7958.3,7698,1283.4,1313.1
August,9284.5,9108.4,8003,7790,1281.5,1318.4
September,9065.8,8833.3,7818.5,7561,1247.3,1272.3
October,9469.1,9141.2,8177.8,7839.2,1291.3,1302
November,9301.4,8873.6,8047.8,7620.4,1253.6,1253.2
December,9554.1,9678.9,8300.3,8376.2,1253.8,1302.7
